"Oak Hill","569","36768"
"Oakman","569","35579"
"Odenville","569","35120"
"Ohatchee","569","36271"
"Oneonta","569","35121"
"Onycha","569","36467"
"Opelika","569","36801"
"Opp","569","36467"
"Orange Beach","569","36561"
"Orrville","569","36767"
"Owens Cross Roads","569","35763"
"Oxford","569","36203"
"Ozark","569","36360"
"Paint Rock","569","35764"
"Parrish","569","35580"
"Pelham","569","35124"
"Pell City","569","35125"
"Pennington","569","36916"
"Perdido Beach","569","36530"
"Petrey","569","36049"
"Phenix City","569","36867"
"Phil Campbell","569","35581"
"Pickensville","569","35447"
"Piedmont","569","36272"
"Pike Road","569","36064"
"Pinckard","569","36371"
"Pine Apple","569","36768"
"Pine Hill","569","36769"
"Pine Ridge","569","35968"
"Pinson","569","35126"
"Pisgah","569","35765"
"Pleasant Grove","569","35127"
"Pleasant Groves","569","35776"
"Pollard","569","36441"
"Powell","569","35971"
"Prattville","569","36067"
"Priceville","569","35603"
"Prichard","569","36610"
"Providence","569","36742"
"Ragland","569","35131"
"Rainbow City","569","35906"
"Rainsville","569","35986"
